id,name,category,price,stock
81,books-81,books,86.69,155
82,home-82,home,435.58,268
83,toys-83,toys,343.55,306
84,food-84,food,145.78,8
85,electronics-85,electronics,75.40,455
86,clothing-86,clothing,139.94,390
87,books-87,books,301.22,111
88,home-88,home,17.16,417
89,toys-89,toys,84.67,180
90,food-90,food,23.56,430
91,electronics-91,electronics,411.53,220
92,clothing-92,clothing,115.12,267
93,books-93,books,372.28,303
94,home-94,home,422.86,192
95,toys-95,toys,430.59,346
96,food-96,food,317.05,285
97,electronics-97,electronics,212.89,451
98,clothing-98,clothing,6.55,200
99,books-99,books,125.77,500
100,home-100,home,264.93,432
101,toys-101,toys,86.28,76
102,food-102,food,376.18,197
103,electronics-103,electronics,425.21,274
104,clothing-104,clothing,441.20,259
105,books-105,books,487.27,181
106,home-106,home,34.97,91
107,toys-107,toys,395.47,229
108,food-108,food,368.10,270
109,electronics-109,electronics,496.88,366
110,clothing-110,clothing,496.39,361
111,books-111,books,41.08,381
112,home-112,home,451.64,44
113,toys-113,toys,412.35,247
114,food-114,food,440.78,233
115,electronics-115,electronics,174.46,13
116,clothing-116,clothing,212.09,449
117,books-117,books,86.66,468
118,home-118,home,332.06,135
119,toys-119,toys,75.38,419
120,food-120,food,484.17,114
121,electronics-121,electronics,106.99,30
122,clothing-122,clothing,236.17,375
123,books-123,books,422.39,414
124,home-124,home,37.65,139
125,toys-125,toys,154.42,403
126,food-126,food,304.52,249
127,electronics-127,electronics,89.01,203
128,clothing-128,clothing,251.63,459
129,books-129,books,366.87,193
130,home-130,home,58.70,202
131,toys-131,toys,475.61,340
132,food-132,food,151.22,322
133,electronics-133,electronics,490.66,157
134,clothing-134,clothing,499.81,290
135,books-135,books,68.88,496
136,home-136,home,449.11,132
137,toys-137,toys,295.60,417
138,food-138,food,103.77,436
139,electronics-139,electronics,38.42,56
140,clothing-140,clothing,244.95,205
141,books-141,books,325.29,339
142,home-142,home,141.62,47
143,toys-143,toys,340.63,94
144,food-144,food,66.27,110
145,electronics-145,electronics,397.89,273
146,clothing-146,clothing,68.81,325
147,books-147,books,278.91,288
148,home-148,home,138.16,352
149,toys-149,toys,210.52,354
150,food-150,food,479.28,470
151,electronics-151,electronics,483.30,150
152,clothing-152,clothing,367.19,195
153,books-153,books,150.46,141
154,home-154,home,462.68,72
155,toys-155,toys,353.34,207
156,food-156,food,20.86,131
157,electronics-157,electronics,258.21,266
158,clothing-158,clothing,234.57,134
159,books-159,books,286.39,86
160,home-160,home,192.24,443
161,toys-161,toys,106.50,500
162,food-162,food,225.07,43
163,electronics-163,electronics,114.91,101
164,clothing-164,clothing,292.89,262
165,books-165,books,314.33,446
166,home-166,home,148.02,204
167,toys-167,toys,359.39,201
168,food-168,food,306.97,89
169,electronics-169,electronics,254.20,134
170,clothing-170,clothing,15.05,143
171,books-171,books,134.49,338
172,home-172,home,103.78,129
173,toys-173,toys,210.38,173
174,food-174,food,354.42,286
175,electronics-175,electronics,96.80,455
176,clothing-176,clothing,421.32,5
177,books-177,books,367.05,436
178,home-178,home,370.51,27
179,toys-179,toys,404.40,488
180,food-180,food,446.11,152
181,electronics-181,electronics,44.07,196
182,clothing-182,clothing,456.31,321
183,books-183,books,159.62,319
184,home-184,home,444.49,212
185,toys-185,toys,215.68,183
186,food-186,food,45.76,177
187,electronics-187,electronics,260.44,110
188,clothing-188,clothing,479.89,148
189,books-189,books,277.76,148
190,home-190,home,206.70,64
191,toys-191,toys,91.69,253
192,food-192,food,55.63,211
193,electronics-193,electronics,53.40,32
194,clothing-194,clothing,428.23,233
195,books-195,books,359.99,123
196,home-196,home,155.01,363
197,toys-197,toys,372.59,157
198,food-198,food,46.92,286
199,electronics-199,electronics,485.33,420
200,clothing-200,clothing,445.47,6
201,books-201,books,60.99,292
202,home-202,home,334.74,321
203,toys-203,toys,271.68,341
204,food-204,food,435.06,43
205,electronics-205,electronics,12.40,166
206,clothing-206,clothing,448.71,474
207,books-207,books,498.65,336
208,home-208,home,49.95,169
209,toys-209,toys,292.09,111
210,food-210,food,79.86,112
211,electronics-211,electronics,135.57,288
212,clothing-212,clothing,222.88,317
213,books-213,books,186.15,446
214,home-214,home,420.96,369
215,toys-215,toys,314.23,335
216,food-216,food,267.58,147
217,electronics-217,electronics,367.72,149
218,clothing-218,clothing,474.28,321
219,books-219,books,482.38,474
220,home-220,home,409.84,485
221,toys-221,toys,358.02,38
222,food-222,food,67.38,456
223,electronics-223,electronics,55.33,229
224,clothing-224,clothing,41.58,364
225,books-225,books,327.67,452
226,home-226,home,321.81,132
227,toys-227,toys,482.71,196
228,food-228,food,352.61,305
229,electronics-229,electronics,48.56,331
230,clothing-230,clothing,76.58,186
231,books-231,books,487.47,415
232,home-232,home,106.81,27
233,toys-233,toys,130.54,487
234,food-234,food,273.43,37
235,electronics-235,electronics,379.71,359
236,clothing-236,clothing,383.37,187
237,books-237,books,252.96,402
238,home-238,home,67.14,165
239,toys-239,toys,151.58,277
240,food-240,food,347.83,113
241,electronics-241,electronics,322.32,341
242,clothing-242,clothing,367.77,153
243,books-243,books,156.89,330
244,home-244,home,294.73,174
245,toys-245,toys,282.50,283
246,food-246,food,268.45,125
247,electronics-247,electronics,232.17,20
248,clothing-248,clothing,52.57,240
249,books-249,books,297.13,14
250,home-250,home,387.12,148
251,toys-251,toys,311.23,222
252,food-252,food,366.85,268
253,electronics-253,electronics,19.88,142
254,clothing-254,clothing,158.48,372
255,books-255,books,302.99,392
256,home-256,home,242.87,364
257,toys-257,toys,355.56,228
258,food-258,food,140.62,116
259,electronics-259,electronics,460.81,69
260,clothing-260,clothing,32.72,108
261,books-261,books,13.05,460
262,home-262,home,111.53,261
263,toys-263,toys,310.85,5
264,food-264,food,247.06,170
265,electronics-265,electronics,180.82,467
266,clothing-266,clothing,303.14,352
267,books-267,books,405.69,221
268,home-268,home,402.11,351
269,toys-269,toys,86.41,336
270,food-270,food,301.92,156
271,electronics-271,electronics,400.57,242
272,clothing-272,clothing,61.71,44
273,books-273,books,497.41,412
274,home-274,home,161.73,445
275,toys-275,toys,16.37,77
276,food-276,food,428.94,123
277,electronics-277,electronics,305.41,89
278,clothing-278,clothing,453.87,448
279,books-279,books,220.49,106
280,home-280,home,386.04,384
281,toys-281,toys,453.20,130
282,food-282,food,93.66,183
283,electronics-283,electronics,274.28,394
284,clothing-284,clothing,115.81,274
285,books-285,books,334.71,172
286,home-286,home,82.87,293
287,toys-287,toys,70.70,357
288,food-288,food,168.27,347
289,electronics-289,electronics,139.16,127
290,clothing-290,clothing,493.09,100
291,books-291,books,420.42,185
292,home-292,home,444.61,415
293,toys-293,toys,36.54,456
294,food-294,food,34.43,321
295,electronics-295,electronics,104.11,490
296,clothing-296,clothing,447.02,450
297,books-297,books,471.97,287
298,home-298,home,156.52,15
299,toys-299,toys,401.63,303
300,food-300,food,321.23,125
301,electronics-301,electronics,481.91,286
302,clothing-302,clothing,65.00,263
303,books-303,books,495.98,64
304,home-304,home,186.97,323
305,toys-305,toys,370.37,368
306,food-306,food,472.22,216
307,electronics-307,electronics,38.79,409
308,clothing-308,clothing,438.97,244
309,books-309,books,469.29,261
310,home-310,home,394.11,55
311,toys-311,toys,268.03,163
312,food-312,food,326.85,113
313,electronics-313,electronics,73.18,464
314,clothing-314,clothing,187.88,145
315,books-315,books,465.80,309
316,home-316,home,331.64,350
317,toys-317,toys,43.83,192
318,food-318,food,159.90,265
319,electronics-319,electronics,305.83,301
320,clothing-320,clothing,424.30,306
321,books-321,books,477.55,44
322,home-322,home,249.41,80
323,toys-323,toys,71.14,82
324,food-324,food,304.13,308
325,electronics-325,electronics,45.70,206
326,clothing-326,clothing,421.21,438
327,books-327,books,14.99,285
328,home-328,home,134.27,358
329,toys-329,toys,52.00,471
330,food-330,food,28.53,5
331,electronics-331,electronics,402.67,100
332,clothing-332,clothing,134.75,367
333,books-333,books,418.69,380
334,home-334,home,24.67,314
335,toys-335,toys,455.10,30
336,food-336,food,259.10,485
337,electronics-337,electronics,164.60,496
338,clothing-338,clothing,305.80,500
339,books-339,books,312.80,418
340,home-340,home,335.72,334
341,toys-341,toys,172.59,46
342,food-342,food,295.09,385
343,electronics-343,electronics,443.08,499
344,clothing-344,clothing,411.65,445
345,books-345,books,63.27,288
346,home-346,home,259.53,113
347,toys-347,toys,135.53,328
348,food-348,food,413.37,102
349,electronics-349,electronics,341.50,342
350,clothing-350,clothing,59.32,407
351,books-351,books,348.43,313
352,home-352,home,6.30,265
353,toys-353,toys,52.79,461
354,food-354,food,468.53,464
355,electronics-355,electronics,386.60,299
356,clothing-356,clothing,477.23,352
357,books-357,books,303.69,156
358,home-358,home,284.95,266
359,toys-359,toys,285.13,2
360,food-360,food,105.55,239
361,electronics-361,electronics,416.56,334
362,clothing-362,clothing,238.58,86
363,books-363,books,296.86,430
364,home-364,home,294.59,262
365,toys-365,toys,303.64,351
366,food-366,food,60.42,408
367,electronics-367,electronics,223.04,130
368,clothing-368,clothing,29.21,389
369,books-369,books,465.37,415
370,home-370,home,396.64,391
371,toys-371,toys,331.83,492
372,food-372,food,493.08,107
373,electronics-373,electronics,135.39,171
374,clothing-374,clothing,140.38,155
375,books-375,books,413.34,185
376,home-376,home,39.99,391
377,toys-377,toys,236.21,46
378,food-378,food,145.62,148
379,electronics-379,electronics,22.79,26
380,clothing-380,clothing,387.07,1
381,books-381,books,109.35,304
382,home-382,home,470.54,475
383,toys-383,toys,170.16,447
384,food-384,food,108.21,29
385,electronics-385,electronics,21.45,219
386,clothing-386,clothing,62.03,146
387,books-387,books,383.62,61
388,home-388,home,152.31,457
389,toys-389,toys,71.91,372
390,food-390,food,69.84,310
391,electronics-391,electronics,13.74,274
392,clothing-392,clothing,368.66,133
393,books-393,books,167.92,470
394,home-394,home,380.83,133
395,toys-395,toys,54.32,44
396,food-396,food,259.17,72
397,electronics-397,electronics,283.26,281
398,clothing-398,clothing,127.01,261
399,books-399,books,200.78,301
400,home-400,home,81.41,169
401,toys-401,toys,337.18,103
402,food-402,food,146.03,184
403,electronics-403,electronics,452.88,108
404,clothing-404,clothing,263.45,236
405,books-405,books,466.43,18
406,home-406,home,236.62,193
407,toys-407,toys,439.30,423
408,food-408,food,401.47,183
409,electronics-409,electronics,407.04,277
410,clothing-410,clothing,363.81,213
411,books-411,books,351.31,179
412,home-412,home,78.98,295
413,toys-413,toys,164.69,130
414,food-414,food,248.05,16
415,electronics-415,electronics,173.35,345
416,clothing-416,clothing,235.92,208
417,books-417,books,495.08,466
418,home-418,home,109.42,283
419,toys-419,toys,91.31,5
420,food-420,food,62.69,448
421,electronics-421,electronics,65.27,498
422,clothing-422,clothing,41.09,189
423,books-423,books,496.56,85
424,home-424,home,424.13,9
425,toys-425,toys,363.16,451
426,food-426,food,261.56,59
427,electronics-427,electronics,105.62,446
428,clothing-428,clothing,300.96,124
429,books-429,books,29.23,228
430,home-430,home,287.92,414
431,toys-431,toys,287.19,44
432,food-432,food,480.18,131
433,electronics-433,electronics,29.05,293
434,clothing-434,clothing,206.70,332
435,books-435,books,120.74,214
436,home-436,home,36.21,224
437,toys-437,toys,5.45,39
438,food-438,food,84.30,497
439,electronics-439,electronics,269.37,438
440,clothing-440,clothing,456.51,420
441,books-441,books,90.29,301
442,home-442,home,421.90,115
443,toys-443,toys,389.43,373
444,food-444,food,456.35,381
445,electronics-445,electronics,112.52,349
446,clothing-446,clothing,397.96,409
447,books-447,books,125.61,491
448,home-448,home,133.25,266
449,toys-449,toys,21.97,160
450,food-450,food,73.33,460
451,electronics-451,electronics,306.23,296
452,clothing-452,clothing,266.12,251
453,books-453,books,453.36,212
454,home-454,home,244.46,181
455,toys-455,toys,141.21,387
456,food-456,food,32.45,450
457,electronics-457,electronics,96.67,322
458,clothing-458,clothing,28.92,484
459,books-459,books,225.01,102
460,home-460,home,115.34,106
461,toys-461,toys,402.67,172
462,food-462,food,487.13,320
463,electronics-463,electronics,494.48,275
464,clothing-464,clothing,135.96,369
465,books-465,books,134.65,23
466,home-466,home,146.33,20
467,toys-467,toys,110.24,173
468,food-468,food,457.39,50
469,electronics-469,electronics,286.44,36
470,clothing-470,clothing,387.45,365
471,books-471,books,474.85,251
472,home-472,home,264.33,165
473,toys-473,toys,357.30,26
474,food-474,food,324.67,457
475,electronics-475,electronics,378.05,186
476,clothing-476,clothing,24.81,414
477,books-477,books,180.23,252
478,home-478,home,168.54,478
479,toys-479,toys,35.74,78
480,food-480,food,323.39,315
481,electronics-481,electronics,321.22,17
482,clothing-482,clothing,415.69,216
483,books-483,books,446.62,481
484,home-484,home,103.63,95
485,toys-485,toys,134.10,90
486,food-486,food,170.61,292
487,electronics-487,electronics,223.91,171
488,clothing-488,clothing,304.97,133
489,books-489,books,173.06,422
490,home-490,home,115.34,235
491,toys-491,toys,265.85,150
492,food-492,food,326.24,156
493,electronics-493,electronics,269.91,115
494,clothing-494,clothing,344.18,38
495,books-495,books,324.76,194
496,home-496,home,391.27,324
497,toys-497,toys,254.58,142
498,food-498,food,215.44,56
499,electronics-499,electronics,27.48,482
500,clothing-500,clothing,382.71,35
501,books-501,books,180.53,126
502,home-502,home,415.32,429
503,toys-503,toys,434.07,156
504,food-504,food,59.36,187
505,electronics-505,electronics,205.69,422
506,clothing-506,clothing,362.08,220
507,books-507,books,480.98,274
508,home-508,home,260.16,314
509,toys-509,toys,87.88,84
510,food-510,food,296.31,400
511,electronics-511,electronics,128.63,372
512,clothing-512,clothing,36.20,469
513,books-513,books,115.60,25
514,home-514,home,96.78,265
515,toys-515,toys,419.19,426
516,food-516,food,106.59,44
517,electronics-517,electronics,459.51,253
518,clothing-518,clothing,243.44,21
519,books-519,books,409.67,342
520,home-520,home,270.34,492
521,toys-521,toys,486.21,53
522,food-522,food,404.28,364
523,electronics-523,electronics,251.76,199
524,clothing-524,clothing,287.63,115
525,books-525,books,28.70,49
526,home-526,home,144.11,269
527,toys-527,toys,433.68,318
528,food-528,food,313.36,311
529,electronics-529,electronics,393.62,277
530,clothing-530,clothing,26.40,447
531,books-531,books,136.41,395
532,home-532,home,397.73,308
533,toys-533,toys,66.42,74
534,food-534,food,403.12,321
535,electronics-535,electronics,285.08,127
536,clothing-536,clothing,145.51,400
537,books-537,books,152.79,200
538,home-538,home,367.52,492
539,toys-539,toys,339.19,173
540,food-540,food,341.66,369
541,electronics-541,electronics,191.62,65
542,clothing-542,clothing,405.68,398
543,books-543,books,321.24,227
544,home-544,home,439.92,128
545,toys-545,toys,316.95,351
546,food-546,food,258.88,217
547,electronics-547,electronics,214.25,497
548,clothing-548,clothing,485.48,459
549,books-549,books,76.60,432
550,home-550,home,410.79,35
551,toys-551,toys,199.29,213
552,food-552,food,295.76,498
553,electronics-553,electronics,137.32,411
554,clothing-554,clothing,425.52,158
555,books-555,books,283.54,449
556,home-556,home,76.17,453
557,toys-557,toys,143.87,115
558,food-558,food,291.87,364
559,electronics-559,electronics,267.72,167
560,clothing-560,clothing,311.24,14
561,books-561,books,377.29,18
562,home-562,home,439.59,64
563,toys-563,toys,496.28,165
564,food-564,food,171.93,42
565,electronics-565,electronics,155.75,215
566,clothing-566,clothing,44.47,382
567,books-567,books,410.23,441
568,home-568,home,293.14,380
569,toys-569,toys,334.74,21
570,food-570,food,147.48,163
571,electronics-571,electronics,345.34,263
572,clothing-572,clothing,365.73,311
573,books-573,books,208.22,465
574,home-574,home,24.62,206
575,toys-575,toys,442.20,135
576,food-576,food,200.61,4
577,electronics-577,electronics,464.10,245
578,clothing-578,clothing,392.23,115
579,books-579,books,427.15,391
580,home-580,home,496.53,172
581,toys-581,toys,376.01,262
582,food-582,food,19.86,421
583,electronics-583,electronics,221.05,53
584,clothing-584,clothing,410.78,385
585,books-585,books,423.33,464
586,home-586,home,194.66,446
587,toys-587,toys,91.40,93
588,food-588,food,395.01,86
589,electronics-589,electronics,63.90,22
590,clothing-590,clothing,156.83,295
591,books-591,books,385.14,385
592,home-592,home,134.09,315
593,toys-593,toys,200.94,44
594,food-594,food,269.30,186
595,electronics-595,electronics,338.74,10
596,clothing-596,clothing,482.44,42
597,books-597,books,439.52,26
598,home-598,home,183.20,5
599,toys-599,toys,487.40,129
600,food-600,food,97.73,408
601,electronics-601,electronics,117.75,315
602,clothing-602,clothing,106.37,353
603,books-603,books,196.30,80
604,home-604,home,350.35,48
605,toys-605,toys,175.28,404
606,food-606,food,260.51,490
607,electronics-607,electronics,63.44,237
608,clothing-608,clothing,82.06,315
609,books-609,books,362.66,42
610,home-610,home,136.41,140
611,toys-611,toys,75.25,456
612,food-612,food,187.79,290
613,electronics-613,electronics,153.10,348
614,clothing-614,clothing,209.94,298
615,books-615,books,275.26,155
616,home-616,home,50.89,195
617,toys-617,toys,59.84,239
618,food-618,food,326.92,104
619,electronics-619,electronics,180.01,215
620,clothing-620,clothing,234.36,223
621,books-621,books,339.81,160
622,home-622,home,87.72,1
623,toys-623,toys,472.90,433
624,food-624,food,278.48,38
625,electronics-625,electronics,471.04,406
626,clothing-626,clothing,30.70,178
627,books-627,books,231.20,271
628,home-628,home,282.76,206
629,toys-629,toys,25.24,487
630,food-630,food,72.57,302
631,electronics-631,electronics,376.61,185
632,clothing-632,clothing,15.53,463
633,books-633,books,263.15,212
634,home-634,home,162.49,387
635,toys-635,toys,433.33,133
636,food-636,food,492.48,330
637,electronics-637,electronics,367.48,205
638,clothing-638,clothing,233.01,277
639,books-639,books,261.13,1
640,home-640,home,286.46,200
641,toys-641,toys,63.65,257
642,food-642,food,497.28,251
643,electronics-643,electronics,163.34,189
644,clothing-644,clothing,486.95,427
645,books-645,books,203.11,54
646,home-646,home,471.65,162
647,toys-647,toys,297.61,255
648,food-648,food,224.73,483
649,electronics-649,electronics,47.34,360
650,clothing-650,clothing,71.10,126
651,books-651,books,184.54,217
652,home-652,home,486.29,365
653,toys-653,toys,499.74,464
654,food-654,food,457.06,144
655,electronics-655,electronics,243.41,202
656,clothing-656,clothing,209.00,434
657,books-657,books,118.29,298
658,home-658,home,128.08,322
659,toys-659,toys,190.02,497
660,food-660,food,467.12,446
661,electronics-661,electronics,328.45,249
662,clothing-662,clothing,49.03,4
663,books-663,books,461.90,51
664,home-664,home,445.97,194
665,toys-665,toys,139.67,486
666,food-666,food,301.23,334
667,electronics-667,electronics,373.87,246
668,clothing-668,clothing,46.50,390
669,books-669,books,388.88,320
670,home-670,home,320.66,416
671,toys-671,toys,49.84,203
672,food-672,food,490.23,43
673,electronics-673,electronics,478.43,441
674,clothing-674,clothing,270.95,146
675,books-675,books,221.37,337
676,home-676,home,63.26,158
677,toys-677,toys,88.48,5
678,food-678,food,419.67,383
679,electronics-679,electronics,460.43,192
680,clothing-680,clothing,265.20,6
681,books-681,books,102.48,443
682,home-682,home,232.80,397
683,toys-683,toys,26.67,77
684,food-684,food,450.54,327
685,electronics-685,electronics,455.43,142
686,clothing-686,clothing,304.34,250
687,books-687,books,104.25,171
688,home-688,home,278.31,250
689,toys-689,toys,471.40,480
690,food-690,food,246.59,23
691,electronics-691,electronics,106.27,26
692,clothing-692,clothing,145.17,296
693,books-693,books,308.28,406
694,home-694,home,485.97,189
695,toys-695,toys,238.28,192
696,food-696,food,302.88,135
697,electronics-697,electronics,404.57,484
698,clothing-698,clothing,101.85,450
699,books-699,books,186.84,351
700,home-700,home,13.17,483
701,toys-701,toys,112.75,21
702,food-702,food,91.21,443
703,electronics-703,electronics,299.65,246
704,clothing-704,clothing,326.79,127
705,books-705,books,328.55,103
706,home-706,home,341.86,328
707,toys-707,toys,452.08,484
708,food-708,food,107.21,110
709,electronics-709,electronics,65.91,345
710,clothing-710,clothing,430.51,291
711,books-711,books,329.56,317
712,home-712,home,78.81,395
713,toys-713,toys,327.17,433
714,food-714,food,193.33,310
715,electronics-715,electronics,280.76,495
716,clothing-716,clothing,327.10,75
717,books-717,books,307.17,347
718,home-718,home,28.09,329
719,toys-719,toys,416.77,402
720,food-720,food,254.51,8
721,electronics-721,electronics,393.14,86
722,clothing-722,clothing,144.37,195
723,books-723,books,467.41,353
724,home-724,home,413.41,100
725,toys-725,toys,85.53,487
726,food-726,food,375.89,117
727,electronics-727,electronics,141.22,134
728,clothing-728,clothing,12.14,163
729,books-729,books,26.02,493
730,home-730,home,111.97,289
731,toys-731,toys,183.50,313
732,food-732,food,57.32,130
733,electronics-733,electronics,108.22,409
734,clothing-734,clothing,15.51,207
735,books-735,books,258.17,258
736,home-736,home,355.99,199
737,toys-737,toys,129.93,255
738,food-738,food,420.05,176
739,electronics-739,electronics,143.79,433
740,clothing-740,clothing,312.23,334
741,books-741,books,121.55,285
742,home-742,home,147.19,141
743,toys-743,toys,290.34,5
744,food-744,food,277.68,290
745,electronics-745,electronics,284.26,405
746,clothing-746,clothing,492.19,384
747,books-747,books,187.98,217
748,home-748,home,170.60,217
749,toys-749,toys,450.02,250
750,food-750,food,499.87,12
751,electronics-751,electronics,485.38,347
752,clothing-752,clothing,319.35,105
753,books-753,books,276.86,500
754,home-754,home,246.86,76
755,toys-755,toys,457.94,134
756,food-756,food,33.78,492
757,electronics-757,electronics,295.84,443
758,clothing-758,clothing,429.07,281
759,books-759,books,268.51,187
760,home-760,home,163.67,332
761,toys-761,toys,22.54,108
762,food-762,food,466.79,486
763,electronics-763,electronics,93.85,204
764,clothing-764,clothing,335.69,29
765,books-765,books,390.48,274
766,home-766,home,153.38,460
767,toys-767,toys,10.29,260
768,food-768,food,470.92,104
769,electronics-769,electronics,384.01,164
770,clothing-770,clothing,143.59,324
771,books-771,books,396.48,83
772,home-772,home,293.97,63
773,toys-773,toys,405.59,155
774,food-774,food,52.80,73
775,electronics-775,electronics,73.25,208
776,clothing-776,clothing,232.12,279
777,books-777,books,309.37,288
778,home-778,home,223.21,486
779,toys-779,toys,292.14,385
780,food-780,food,105.94,426
781,electronics-781,electronics,148.34,24
782,clothing-782,clothing,210.51,8
783,books-783,books,142.10,142
784,home-784,home,112.92,499
785,toys-785,toys,309.19,434
786,food-786,food,416.38,269
787,electronics-787,electronics,149.04,116
788,clothing-788,clothing,323.51,162
789,books-789,books,39.73,378
790,home-790,home,79.84,382
791,toys-791,toys,35.51,439
792,food-792,food,386.28,270
793,electronics-793,electronics,282.56,229
794,clothing-794,clothing,270.46,348
795,books-795,books,18.27,234
796,home-796,home,176.83,383
797,toys-797,toys,250.00,452
798,food-798,food,187.62,386
799,electronics-799,electronics,252.15,106
800,clothing-800,clothing,91.98,268
801,books-801,books,11.06,289
802,home-802,home,184.69,11
803,toys-803,toys,29.78,395
804,food-804,food,381.63,326
805,electronics-805,electronics,240.85,298
806,clothing-806,clothing,76.79,96
807,books-807,books,287.24,348
808,home-808,home,261.41,69
809,toys-809,toys,98.65,354
810,food-810,food,164.01,179
811,electronics-811,electronics,27.14,357
812,clothing-812,clothing,97.68,103
813,books-813,books,352.63,392
814,home-814,home,78.13,408
815,toys-815,toys,170.85,54
816,food-816,food,372.34,37
817,electronics-817,electronics,151.94,471
818,clothing-818,clothing,311.91,114
819,books-819,books,109.53,456
820,home-820,home,90.96,402
821,toys-821,toys,212.34,85
822,food-822,food,309.19,317
823,electronics-823,electronics,318.24,451
824,clothing-824,clothing,236.84,140
825,books-825,books,107.05,67
826,home-826,home,372.63,265
827,toys-827,toys,269.38,183
828,food-828,food,366.22,290
829,electronics-829,electronics,453.36,19
830,clothing-830,clothing,232.18,220
831,books-831,books,104.26,175
832,home-832,home,288.33,93
833,toys-833,toys,110.13,332
834,food-834,food,459.26,239
835,electronics-835,electronics,408.67,307
836,clothing-836,clothing,86.78,391
837,books-837,books,283.78,77
838,home-838,home,377.56,386
839,toys-839,toys,206.45,232
840,food-840,food,393.08,312
841,electronics-841,electronics,205.26,87
842,clothing-842,clothing,225.76,400
843,books-843,books,378.66,409
844,home-844,home,323.13,429
845,toys-845,toys,408.70,151
846,food-846,food,346.67,213
847,electronics-847,electronics,231.34,238
848,clothing-848,clothing,270.22,48
849,books-849,books,16.47,5
850,home-850,home,190.77,466
851,toys-851,toys,128.22,166
852,food-852,food,43.60,101
853,electronics-853,electronics,366.45,71
854,clothing-854,clothing,218.65,11
855,books-855,books,170.21,350
856,home-856,home,67.39,496
857,toys-857,toys,38.04,400
858,food-858,food,37.71,248
859,electronics-859,electronics,71.93,22
860,clothing-860,clothing,483.06,324
861,books-861,books,131.01,97
862,home-862,home,449.25,306
863,toys-863,toys,411.13,76
864,food-864,food,413.35,62
865,electronics-865,electronics,377.68,440
866,clothing-866,clothing,262.38,291
867,books-867,books,337.67,248
868,home-868,home,306.61,254
869,toys-869,toys,210.11,395
870,food-870,food,140.55,168
871,electronics-871,electronics,90.96,167
872,clothing-872,clothing,203.64,432
873,books-873,books,273.26,283
874,home-874,home,426.39,250
875,toys-875,toys,387.29,159
876,food-876,food,137.64,476
877,electronics-877,electronics,372.54,423
878,clothing-878,clothing,470.09,83
879,books-879,books,463.59,457
880,home-880,home,95.77,124
881,toys-881,toys,420.77,147
882,food-882,food,297.85,67
883,electronics-883,electronics,458.15,345
884,clothing-884,clothing,287.70,27
885,books-885,books,438.82,232
886,home-886,home,250.02,373
887,toys-887,toys,192.65,245
888,food-888,food,209.60,427
889,electronics-889,electronics,400.69,415
890,clothing-890,clothing,112.53,388
891,books-891,books,33.42,35
892,home-892,home,225.79,33
